ID_FUNCIONARIO;NOME;CARGO;PAIS;EMAIL
1;Dahlia Landon;Presidente e CEO;Reino Unido;dlandon@landonhotel.com
2;Mark Tristener;Vice Presidente Executivo e CFO;Reino Unido;mtristener@landonhotel.com
3;Jennifer Veladoner;Presidente e Diretor Internacional Europa;Reino Unido;jveladoner@landonhotel.com
4;Jonathan Perfington;Presidente e Diretor Técnico América do Norte;Estados Unidos;jperfington@landonhotel.com
5;Marilia Piva;Presidente e Diretor Internacional América Latina;Brasil;mpiva@landonhotel.com
6;Chong Nuan;Presidente e Diretor Internacional Ásia e África;China;cnuan@landonhotel.com
7;Lucas Moraes;Vice Presidente Executivo;Brasil;lmoraes@landonhotel.com
8;Philip Landon;Diretor de Hospitalidade Europa;Reino Unido;plandon@landonhotel.com
9;Tammy Marley;Diretor de Hospitalidade América do Norte;Estados Unidos;tmarleycox@landonhotel.com
10;Victor Soares;Diretor de Hospitalidade América Latina;Brasil;vsoares@landonhotel.com
11;Safeek Dulnar;Diretor de Hospitalidade Ásia e África;Índia;sdulnar@landonhotel.com
12;Jenifer Melo;Coordenador de Eventos Senior;Brasil;jmelo@landonhotel.com
